t,psi_m,psi_l,nu
285.5078124689501,0.00007097444939553638,-1.6976271911017328e-6,-63.00000011830773
285.52734371896827,0.00007293126962091936,-1.7432433748901782e-6,-63.00000015414295
285.54687496898646,0.00007489710674320225,-1.7890678014012896e-6,-63.00000019574384
285.56640621900465,0.00007687213930531618,-1.835103326335704e-6,-63.000000243062274
285.58593746902284,0.00007885633250818935,-1.8813477545527747e-6,-63.000000296056605
285.605468719041,0.00008084943664036976,-1.9277938085388938e-6,-63.00000035469137
285.6249999690592,0.00008285098603178042,-1.974429109084606e-6,-63.00000041893663
285.6445312190774,0.0000848602985010522,-2.0212361673422532e-6,-63.000000488767604
285.6640624690956,0.00008687647527260541,-2.068192387701066e-6,-63.00000056416394
285.6835937191138,0.00008889840134587703,-2.115270081372239e-6,-63.00000064510874
285.703124969132,0.00009092474630565033,-2.1624364900070976e-6,-63.000000731588074
285.72265621915017,0.00009295396556909155,-2.2096538198531537e-6,-63.0000008235895
285.74218746916836,0.00009498430207153248,-2.2568792859832613e-6,-63.00000092110151
285.76171871918655,0.00009701378839906264,-2.3040651671560112e-6,-63.000001024112024
285.78124996920474,0.0000990402493824641,-2.351158871611852e-6,-63.00000113260748
285.8007812192229,0.0001010613051722397,-2.398103014392042e-6,-63.00000124657136
285.8203124692411,0.00010307437481984557,-2.4448355065552836e-6,-63.000001365982875
285.8398437192593,0.00010507668039509248,-2.4912896573597085e-6,-63.00000149081571
285.8593749692775,0.00010706525167324516,-2.5373942897399637e-6,-63.00000162103646
285.8789062192957,0.00010903693142998398,-2.5830738707336124e-6,-63.00000175660309
285.8984374693139,0.00011098838138363209,-2.628248657103231e-6,-63.00000189746366
285.91796871933207,0.00011291608882742258,-2.6728348576521825e-6,-63.00000204355452
285.93749996935026,0.00011481637399500984,-2.7167448127859514e-6,-63.00000219479879
285.95703121936845,0.00011668539820310519,-2.7598871929948217e-6,-63.00000235110495
285.97656246938664,0.00011851917281433914,-2.802167216638585e-6,-63.000002512365086
285.9960937194048,0.00012031356906209421,-2.843486888255871e-6,-63.00000267845343
286.015624969423,0.00012206432877645008,-2.8837452586680228e-6,-63.000002849224835
286.0351562194412,0.00012376707604675564,-2.9228387070044983e-6,-63.00000302451326
286.0546874694594,0.0001254173298524242,-2.9606612458294543e-6,-63.00000320413031
286.0742187194776,0.00012701051768663747,-2.997104849728386e-6,-63.00000338786406
286.0937499694958,0.000128541990192175,-3.032059807916062e-6,-63.000003575477635
286.11328121951396,0.00013000703682031784,-3.065415100926395e-6,-63.00000376670803
286.13281246953215,0.00013140090251488013,-3.0970588014294803e-6,-63.0000039612653
286.15234371955034,0.00013271880541416593,-3.1268784988586693e-6,-63.00000415883137
